final lin 0.0 0 ,final log 0.0 0 ,final power 0.0 0 ,final lin 0.5235987755982988 0 ,final log 0.5235987755982988 0 ,final power 0.5235987755982988 0 ,final lin 1.0471975511965976 0 ,final log 1.0471975511965976 0 ,final power 1.0471975511965976 0 ,final lin 1.5707963267948966 0 ,final log 1.5707963267948966 0 ,final power 1.5707963267948966 0 ,final lin 0.0 1 ,final log 0.0 1 ,final power 0.0 1 ,final lin 0.5235987755982988 1 ,final log 0.5235987755982988 1 ,final power 0.5235987755982988 1 ,final lin 1.0471975511965976 1 ,final log 1.0471975511965976 1 ,final power 1.0471975511965976 1 ,final lin 1.5707963267948966 1 ,final log 1.5707963267948966 1 ,final power 1.5707963267948966 1 
39632,201506,19756,41058,208780,20472,41254,210850,20880,41254,210850,20880,41878,214012,21190,42716,218236,21604,56720,288026,28400,56720,288026,28400
41262,191198,15000,42748,198074,15540,57758,269184,21134,57758,269184,21134,58414,272234,21374,59288,276294,21694,67936,316270,24834,67936,316270,24834
37650,191952,18764,38930,198472,19406,49438,252784,25072,49438,252784,25072,50016,255728,25360,50780,259632,25742,56802,290432,28812,56802,290432,28812
47754,220410,21068,49086,226598,21678,57166,264098,25412,57166,264098,25412,57776,266932,25694,58584,270688,26062,64088,296232,28596,64088,296232,28596
51978,245732,28438,53240,251618,29128,60008,283130,32838,69052,323290,37324,69640,326028,37648,70412,329640,38074,75138,351628,40662,75138,351628,40662
17072,81216,7556,18276,86814,8106,24380,115176,10876,32666,154556,14550,33234,157204,14808,33982,160680,15152,38140,180032,17042,38140,180032,17042
15874,73566,8646,17028,78908,9276,22768,105542,12404,27928,129598,15228,28482,132156,15532,29202,135500,15924,32930,152800,17954,32930,152800,17954
15208,70466,8274,16316,75584,8874,21898,101488,11920,26036,120634,14150,26564,123108,14444,27260,126326,14824,30632,141940,16652,30632,141940,16652
15958,67714,7954,17108,72614,8530,23232,98674,11600,27072,114980,13508,27634,117368,13788,28364,120476,14154,31716,134704,15822,31716,134704,15822
15368,65238,7672,16472,69936,8220,22928,97350,11452,26318,111780,13144,26860,114090,13416,27568,117084,13770,30636,130116,15302,30636,130116,15302
14840,61826,8656,15898,66246,9274,23276,96960,13602,26334,109734,15386,26860,111924,15696,27538,114756,16092,30362,126530,17740,30362,126530,17740
14374,61122,7178,15394,65458,7690,26738,113456,13424,29542,125378,14830,30050,127538,15086,30706,130320,15414,33318,141440,16722,33318,141440,16722
15120,59284,9296,16192,63460,9950,23890,93226,14600,26698,104262,16332,27226,106354,16658,27908,109030,17076,30542,119352,18694,30542,119352,18694
14698,57638,7908,15724,61664,8464,16704,65518,8988,19326,75804,10394,19840,77832,10672,20498,80424,11028,22940,90020,12340,22940,90020,12340
14318,56172,8802,15308,60060,9412,16228,63670,9978,18688,73330,11488,19188,75290,11794,19826,77790,12192,22108,86736,13590,22108,86736,13590
13978,54830,8586,14936,58582,9174,15800,61964,9702,18116,71086,11124,18598,72986,11422,19214,75400,11800,21346,83768,13108,21346,83768,13108
14730,53618,8402,15728,57252,8974,16602,60444,9472,18980,69082,10826,19484,70918,11114,20124,73254,11478,22270,81092,12704,22270,81092,12704
14424,52536,8250,15392,56064,8804,16218,59078,9278,18466,67270,10562,18954,69050,10844,19572,71300,11196,21586,78654,12348,21586,78654,12348
14164,51598,9102,15104,55028,9708,15886,57896,10212,18030,65742,11592,18506,67466,11896,19100,69642,12280,20994,76542,13504,20994,76542,13504
13936,50776,8952,14850,54110,9542,15596,56824,10024,17648,64306,11346,18108,65976,11640,18684,68084,12014,20470,74578,13164,20470,74578,13164
14728,50060,9828,15692,53310,10466,16454,55902,10974,18562,63072,12384,19042,64696,12702,19640,66730,13096,21436,72844,14298,21436,72844,14298
14536,49494,9702,15480,52666,10330,16208,55142,10814,18232,62024,12166,18702,63592,12474,19280,65556,12862,20976,71320,13988,20976,71320,13988
14418,49074,9620,15328,52174,10228,16024,54540,10694,17970,61154,12004,18418,62680,12300,18976,64582,12672,20576,70026,13738,20576,70026,13738
14354,47862,10530,15248,50840,11186,15918,53066,11684,17794,59322,13058,18226,60770,13374,18768,62570,13770,20268,67608,14880,20268,67608,14880
15296,48740,10518,16230,51724,11164,16918,53902,11634,18846,60056,12956,19296,61488,13262,19850,63264,13644,21368,68120,14688,21368,68120,14688
15348,48924,11508,16268,51864,12200,16926,53960,12694,18788,59910,14094,19224,61296,14424,19768,63018,14828,21208,67608,15906,21208,67608,15906
15496,49350,11626,16406,52246,12306,17040,54264,12780,18842,59994,14136,19268,61340,14450,19790,63004,14840,21150,67348,15858,21150,67348,15858
16736,50220,11816,17692,53086,12488,18342,55034,12944,20188,60588,14254,20626,61896,14564,21162,63504,14944,22534,67620,15912,22534,67620,15912
17204,51626,13168,18154,54466,13896,18794,56336,14378,20598,61710,15748,21018,62978,16068,21538,64536,16464,22830,68432,17454,22830,68432,17454
17944,53912,13726,18878,56746,14446,19482,58570,14908,21224,63778,16240,21630,65012,16554,22132,66522,16944,23354,70210,17882,23354,70210,17882
20344,57740,15814,21340,60572,16590,21962,62332,17076,23750,67388,18464,24174,68584,18794,24690,70046,19198,25928,73546,20158,25928,73546,20158
