final lin 0.0 0.0,final log 0.0 0.0,final power 0.0 0.0,final lin 0.0 0.524,final log 0.0 0.524,final power 0.0 0.524,final lin 0.0 1.047,final log 0.0 1.047,final power 0.0 1.047,final lin 0.0 1.571,final log 0.0 1.571,final power 0.0 1.571,final lin 0.5 0.0,final log 0.5 0.0,final power 0.5 0.0,final lin 0.5 0.524,final log 0.5 0.524,final power 0.5 0.524,final lin 0.5 1.047,final log 0.5 1.047,final power 0.5 1.047,final lin 0.5 1.571,final log 0.5 1.571,final power 0.5 1.571,final lin 0.9 0.0,final log 0.9 0.0,final power 0.9 0.0,final lin 0.9 0.524,final log 0.9 0.524,final power 0.9 0.524,final lin 0.9 1.047,final log 0.9 1.047,final power 0.9 1.047,final lin 0.9 1.571,final log 0.9 1.571,final power 0.9 1.571
2836716,13103709,1258840,2851300,13170813,1265138,2854508,13185691,1266602,2857150,13197955,1267808,2858276,13203167,1268320,2859608,13209355,1268930,2867688,13246855,1272664,2867688,13246855,1272664,2868298,13249689,1272946,2869106,13253445,1273314,2874610,13278989,1275848,2874610,13278989,1275848
3028516,14279162,1656492,3045762,14361406,1665926,3048744,14375252,1667552,3051180,14386576,1668886,3052270,14391638,1669482,3053532,14397524,1670172,3060300,14429036,1673882,3069344,14469196,1678368,3069932,14471934,1678692,3070704,14475546,1679118,3075430,14497534,1681706,3075430,14497534,1681706
1291530,6091782,577024,1291758,6093808,577024,1294558,6106820,578300,1296824,6117360,579332,1297886,6122288,579814,1299090,6127886,580364,1305194,6156248,583134,1313480,6195628,586808,1314048,6198276,587066,1314796,6201752,587410,1318954,6221104,589300,1318954,6221104,589300
1226409,5684532,668848,1226409,5684532,668848,1229059,5696838,670296,1231185,5706700,671456,1232225,5711496,672020,1233379,5716838,672650,1239119,5743472,675778,1244279,5767528,678602,1244833,5770086,678906,1245553,5773430,679298,1249281,5790730,681328,1249281,5790730,681328
1187195,5505074,646939,1187195,5505074,646939,1189729,5516804,648315,1191735,5526094,649405,1192745,5530770,649953,1193853,5535888,650553,1199435,5561792,653599,1203573,5580938,655829,1204101,5583412,656123,1204797,5586630,656503,1208169,5602244,658331,1208169,5602244,658331
1260546,5352661,628986,1260546,5352661,628986,1263192,5363879,630302,1265264,5372667,631332,1266342,5377229,631872,1267492,5382129,632448,1273616,5408189,635518,1277456,5424495,637426,1278018,5426883,637706,1278748,5429991,638072,1282100,5444219,639740,1282100,5444219,639740
1230274,5227215,615077,1230274,5227215,615077,1232812,5237985,616347,1234778,5246337,617325,1235830,5250793,617849,1236934,5255491,618397,1243390,5282905,621629,1246780,5297335,623321,1247322,5299645,623593,1248030,5302639,623947,1251098,5315671,625479,1251098,5315671,625479
1209426,5040020,705794,1209426,5040020,705794,1211872,5050234,707220,1213742,5058030,708314,1214768,5062310,708912,1215826,5066730,709530,1223204,5097444,713858,1226262,5110218,715642,1226788,5112408,715952,1227466,5115240,716348,1230290,5127014,717996,1230290,5127014,717996
1211650,5151588,606008,1211650,5151588,606008,1214028,5161678,607196,1215820,5169278,608088,1216824,5173556,608592,1217844,5177892,609104,1229188,5225890,614838,1231992,5237812,616244,1232500,5239972,616500,1233156,5242754,616828,1235768,5253874,618136,1235768,5253874,618136
1306153,5124985,802100,1306153,5124985,802100,1308651,5134797,803638,1310503,5142083,804778,1311577,5146273,805434,1312649,5150449,806088,1320347,5180215,810738,1323155,5191251,812470,1323683,5193343,812796,1324365,5196019,813214,1326999,5206341,814832,1326999,5206341,814832
